id,paragraphs
151,george r r martin weighed scene post episode interview vanity fair said thought handled well done scene want use word enjoyable scene like incredibly powerful visceral rip heart throw floor kind impact red wedding beautifully done scene something horrible martin responded accusation gratuitous comparing destruction alderaan star war want live book want want emotion engaged kind novel love read kind thing love write affect emotionally accused particularly bloody person star war kill people first star war movie come death star blow planet alderaan — 20 million people dead note actual death toll 2 billion impact care 20 million people dead six movie later find guess jimmy smits one retroactively go oh killed jimmy smits feel anything moment oh okay statistic would mean viserys watching tournament messenger come running say wife died going effect think 16
152,staff intimacy coordinator miriam lucia helped oversee filming scene said filmed closed set half people room woman due midwife fourteen different gown made sian brooke fake blood ruined every take start new one time 17
153,inside episode sapochnik said idea present aemma death childbirth violence tournament intercut montage highlighting aemma earlier remark childbed battlefield though later admitted interview popsugar actually editor tim porter idea seemed like appropriate time draw parallel visually two male female struggle one fighting battlefield fighting survival sometimes person closest 18
154,line medieval woman childbed battlefield book given aemma said randyll tarly brienne fourth novel using slightly different word god made men fight woman bear child woman war birthing bed context however dismissive felt woman warrior battlefield enough birthing bed
155,sapochnik revealed inside episode matt smith idea play daemon reaction aemma death caring responsive three viserys left stunned silence rhaenyra seething anger father drive produce male heir killed mother daemon one funeral gently urging rhaenyra father need ever genuinely pained see shattered older brother
156,sapochnik explained inside episode viserys named rhaenyra heir anger daemon apparent flippancy also mix guilt aemma death love rhaenyra feel guilty aemma felt pressured many dangerous pregnancy ultimately killed pursuit male heir could named rhaenyra heir year ago stopped trying child meanwhile also see strength potential rhaenyra indeed feel could worthy heir throne
157,prophecy
158,episode prominently mention three separate targaryens prophetic dream well known family trait book one specific dream book however two appeared
159,viserys mention daenys targaryen known daenys dreamer prophetic dream doom valyria would come massive volcanic eruption destroyed homeland heeding dream father rest house targaryen relocated dragonstone time distant westernmost overseas outpost valyria thus doom came 12 year later targaryens dragon survived
160,viserys go discus wife aemma prophetic dream real memory saw son born wearing iron crown aegon conqueror viserys convinced aemma give birth healthy boy leaf baffled die
161,major addition viserys tell rhaenyra real reason ancestor aegon conqueror invaded united seven kingdom forged iron throne also prophetic dream aegon dreamed end men would come form apocalyptic winter far north bringing dark force clearly indicating eventual return white walker though mentioning name aegon realized world men needed united one banner stand threat targaryens conquered westeros save prophecy passed secret king heir aegon called dream song ice fire title main novel series
162,currently unknown invention tv show truth secret plot detail george r r martin intended reveal final book hint martin may planning least several year chief among martin allusion promotional video release fire blood 2018
163,time phrase song ice fire mentioned novel series conjunction rhaegar targaryen older brother daenerys jon snow secret father daenerys prophetic dream rhaegar see telling firstborn son prince promised rally world white walker song ice fire moreover barristan selmy recall rhaegar interested scholar warrior youth one day showed training yard said read something ancient scroll indicating needed warrior thus somewhat implied rhaegar rediscovered lost prophecy aegon motivated action leading robert rebellion birth jon snow
164,next week episode preview end one show young rhaenyra reading valyrian glyph etched onto viserys valyrian steel dagger visible heated flame fact verbatim quote rhaegar said daenerys vision blood come prince promised song ice fire
165,exact chain prophecy passed king heir first century targaryen rule unclear aegon apparently told eldest son heir aenys targaryen father jaehaerys seen old man beginning episode upon aenys death however throne usurped half brother maegor cruel given formal heir unknown maegor ever knew prophecy maegor also killed jaehaerys older brother crown prince possible brother surviving widow told jaehaerys regardless jaehaerys either told viserys father baelon heir simply told viserys right result great council harrenhal named heir
166,interview den geek miguel sapochnik explained also great way add back magical spiritual element main song ice fire novel prequel era dragon little magic
167,wanted keep alive notion spirituality original show myth folklore story ice spider big hound et cetera et cetera thing needed find something hang hat spirituality play large part fate destiny big part story 19
168,press junket insider popsugar metacritic gizmodo ryan condal stated information aegon prophetic dream white walker return came george r r martin told condal early writing process meeting figuring architecture series whole e around late 2018 condal hired september 2018
